match_id,point_duration_time_x,SET_GAME_POINT,rally_length,PLAYER_WIN_NAME,server_name
US_Open_2023_R64_Townsend_Haddad-Maia,13.951,2_11_1,7,TOWNSEND,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,20.429,2_8_4,11,HADDAD MAIA,RUSE
Miami_2023_R32_Ostapenko_Haddad-Maia,11.65963994050598,1_3_6,7,HADDAD MAIA,OSTAPENKO
US_Open_2023_1st_Stephens_Haddad-Maia,21.299,2_9_13,14,STEPHENS,STEPHENS
Rome_2023_R32_Linette_Haddad-Maia,30.689,2_6_2,20,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,12.768738043113707,1_3_4,8,HELGO,HELGO
Rome_2023_R64_Ruse_Haddad-Maia,20.244,2_5_5,14,HADDAD MAIA,HADDAD MAIA
Cincinnati_2023_R64_Muchova_Haddad-Maia,17.761,1_1_2,12,MUCHOVA,MUCHOVA
Miami_2023_R32_Ostapenko_Haddad-Maia,11.615664096009828,3_6_5,9,OSTAPENKO,HADDAD MAIA
Rome_2023_R32_Linette_Haddad-Maia,29.434,2_6_12,18,LINETTE,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,19.38792611281585,3_1_1,13,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,19.562209069389343,3_7_2,14,HADDAD MAIA,SINIAKOVA
United_Cup_2023_RR_Haddad_Maia_Helgo,12.704795013442991,1_7_12,9,HADDAD MAIA,HELGO
Adelaide2_2023_4th_Haddad-Maia_Badosa,23.77784906206665,1_7_4,17,HADDAD MAIA,BADOSA
United_Cup_2023_RR_Haddad-Maia_Trevisan,13.711520012023923,1_5_7,10,TREVISAN,TREVISAN
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,17.406981056077576,1_3_5,10,PARRIZAS DIAZ,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,13.51,2_1_3,10,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,22.32614899406433,3_4_3,17,HADDAD MAIA,RADUCANU
US_Open_2023_1st_Stephens_Haddad-Maia,21.175,2_4_2,16,HADDAD MAIA,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,19.685,2_3_6,13,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,12.661492039704894,2_7_6,8,HELGO,HELGO
United_Cup_2023_RR_Haddad-Maia_Trevisan,13.452832975891113,1_1_4,10,HADDAD MAIA,TREVISAN
US_Open_2023_1st_Stephens_Haddad-Maia,20.073,2_4_3,13,STEPHENS,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,11.311762067390442,1_3_16,7,HADDAD MAIA,OSTAPENKO
Rome_2023_R32_Linette_Haddad-Maia,25.94,2_1_2,17,HADDAD MAIA,LINETTE
Cincinnati_2023_R64_Muchova_Haddad-Maia,16.973,1_3_6,11,HADDAD MAIA,MUCHOVA
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,22.081955948616027,3_6_4,15,RADUCANU,RADUCANU
Madrid_2023_R64_Haddad-Maia_Andreeva,21.118,2_9_2,15,ANDREEVA,HADDAD MAIA
Rome_2023_R16_Osorio_Haddad-Maia,16.218,1_1_4,11,OSORIO,OSORIO
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,18.780711037017824,3_4_2,12,HADDAD MAIA,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,13.294,1_5_5,10,TOWNSEND,TOWNSEND
Rome_2023_QF_Haddad-Maia_Kalinina,22.98,1_13_2,13,HADDAD MAIA,KALININA
Adelaide2_2023_4th_Haddad-Maia_Badosa,23.76571398954773,1_10_5,18,HADDAD MAIA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,17.396107996200563,1_9_1,13,PARRIZAS DIAZ,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,19.20628805773316,3_3_1,13,MARTINCOVA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,20.074,2_8_10,11,ANDREEVA,ANDREEVA
Miami_2023_R32_Ostapenko_Haddad-Maia,11.212232032577514,1_5_2,8,OSTAPENKO,OSTAPENKO
Miami_2023_R64_Martincova_Haddad-Maia,17.78470599721527,1_2_4,11,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,12.654110943344117,1_5_1,9,HELGO,HELGO
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,16.892547069145202,2_2_5,12,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,21.65647410680542,3_1_1,15,RADUCANU,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,18.073,1_7_1,13,RUSE,HADDAD MAIA
Adelaide2_2023_4th_Haddad-Maia_Badosa,22.90634401795349,2_12_6,14,BADOSA,BADOSA
United_Cup_2023_RR_Haddad-Maia_Trevisan,13.413596957122802,2_6_8,8,HADDAD MAIA,HADDAD MAIA
Rome_2023_R16_Osorio_Haddad-Maia,15.412,1_9_6,8,HADDAD MAIA,OSORIO
US_Open_2023_R64_Townsend_Haddad-Maia,12.663,2_1_6,8,TOWNSEND,HADDAD MAIA
Rome_2023_QF_Haddad-Maia_Kalinina,22.608,2_13_12,15,HADDAD MAIA,KALININA
US_Open_2023_1st_Stephens_Haddad-Maia,19.992,1_7_2,14,HADDAD MAIA,STEPHENS
Rome_2023_R32_Linette_Haddad-Maia,23.17,2_2_1,16,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,17.66224001876068,1_4_3,12,SINIAKOVA,SINIAKOVA
Miami_2023_R64_Martincova_Haddad-Maia,17.50996900645447,3_4_7,13,HADDAD MAIA,MARTINCOVA
Rome_2023_QF_Haddad-Maia_Kalinina,22.395,1_7_4,14,KALININA,HADDAD MAIA
Adelaide2_2023_4th_Haddad-Maia_Badosa,22.324830934432985,2_9_9,16,HADDAD MAIA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,19.245,2_3_9,12,HADDAD MAIA,HADDAD MAIA
Rome_2023_R16_Osorio_Haddad-Maia,14.998,1_3_1,10,OSORIO,OSORIO
US_Open_2023_1st_Stephens_Haddad-Maia,19.661,3_8_3,13,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,20.1798979981842,2_6_8,14,RADUCANU,RADUCANU
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,17.62599707263336,1_10_2,11,HADDAD MAIA,SINIAKOVA
United_Cup_2023_RR_Haddad-Maia_Trevisan,13.344795956802368,2_3_4,11,HADDAD MAIA,TREVISAN
Cincinnati_2023_R64_Muchova_Haddad-Maia,16.212,3_10_6,11,MUCHOVA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,16.37108707884369,1_11_4,12,HADDAD MAIA,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,12.374,1_13_3,9,TOWNSEND,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,12.46808200979004,2_2_3,10,HELGO,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,17.851,1_2_2,12,HADDAD MAIA,RUSE
Rome_2023_R32_Linette_Haddad-Maia,21.549,2_8_6,14,HADDAD MAIA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,10.681803018928528,2_1_6,8,OSTAPENKO,OSTAPENKO
Miami_2023_R64_Martincova_Haddad-Maia,17.428860015548707,3_5_9,12,HADDAD MAIA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,16.258761099281312,2_3_6,10,HADDAD MAIA,PARRIZAS DIAZ
Rome_2023_R16_Osorio_Haddad-Maia,13.738,2_7_4,7,HADDAD MAIA,HADDAD MAIA
Rome_2023_QF_Haddad-Maia_Kalinina,22.171,1_12_2,15,HADDAD MAIA,KALININA
Adelaide2_2023_4th_Haddad-Maia_Badosa,21.835453106689453,2_9_7,13,BADOSA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,16.97410297666931,1_9_3,12,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,11.991036083122252,1_7_1,9,HELGO,HELGO
Rome_2023_R32_Linette_Haddad-Maia,21.121,2_3_2,12,LINETTE,LINETTE
US_Open_2023_1st_Stephens_Haddad-Maia,19.198,2_6_5,14,STEPHENS,HADDAD MAIA
Cincinnati_2023_R64_Muchova_Haddad-Maia,15.937,1_10_6,9,MUCHOVA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,10.433015984611512,3_3_13,8,OSTAPENKO,OSTAPENKO
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,20.086613946342467,3_7_5,14,RADUCANU,HADDAD MAIA
United_Cup_2023_RR_Haddad-Maia_Trevisan,13.22464003173828,1_8_5,8,HADDAD MAIA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,18.926,2_8_6,12,ANDREEVA,ANDREEVA
US_Open_2023_R64_Townsend_Haddad-Maia,12.311,2_8_2,9,TOWNSEND,TOWNSEND
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,16.25365901397705,2_12_7,12,SINIAKOVA,SINIAKOVA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,16.1057300254364,1_3_7,11,HADDAD MAIA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,18.601,1_12_6,10,HADDAD MAIA,HADDAD MAIA
Cincinnati_2023_R64_Muchova_Haddad-Maia,15.61,3_9_2,11,MUCHOVA,MUCHOVA
US_Open_2023_1st_Stephens_Haddad-Maia,18.472,3_2_17,13,STEPHENS,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,11.359,1_4_1,8,TOWNSEND,HADDAD MAIA
Adelaide2_2023_4th_Haddad-Maia_Badosa,21.604408092874145,1_10_4,13,BADOSA,HADDAD MAIA
Rome_2023_R16_Osorio_Haddad-Maia,13.136,1_6_1,7,HADDAD MAIA,HADDAD MAIA
Rome_2023_QF_Haddad-Maia_Kalinina,21.159,2_7_2,15,HADDAD MAIA,KALININA
United_Cup_2023_RR_Haddad_Maia_Helgo,11.407033006965635,1_8_1,6,HADDAD MAIA,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,16.957,1_6_8,11,HADDAD MAIA,RUSE
United_Cup_2023_RR_Haddad-Maia_Trevisan,12.89047410496521,1_8_2,10,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,19.63260405711365,3_6_5,14,RADUCANU,RADUCANU
Rome_2023_R32_Linette_Haddad-Maia,21.021,1_12_2,14,HADDAD MAIA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,9.655938962409971,2_6_4,7,OSTAPENKO,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,16.317,2_3_2,10,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,11.297535049325562,2_5_1,9,HADDAD MAIA,HELGO
